employee_id,employer_id,match_score,successful_match
0,0,0.8,1
0,1,0.8,1
0,2,0.5,0
0,3,0.8,1
0,4,0.8,1
0,5,0.8,1
0,6,0.8,1
0,7,0.8,1
0,8,0.8,1
0,9,0.8,0
0,10,0.0,0
0,11,0.0,0
0,12,0.0,0
0,13,0.8,1
0,14,0.8,0
0,15,0.8,0
0,16,0.8,1
0,17,0.8,1
0,18,0.8,0
0,19,0.0,0
0,20,0.8,1
0,21,0.5,1
0,22,0.8,1
0,23,0.8,1
0,24,0.8,1
0,25,0.8,0
0,26,0.0,0
0,27,0.0,0
0,28,0.8,1
0,29,0.8,0
0,30,0.8,0
0,31,0.8,0
0,32,0.5,0
0,33,0.8,1
0,34,0.8,0
0,35,0.5,0
0,36,0.5,0
0,37,0.8,0
0,38,0.8,1
0,39,0.8,1
0,40,0.8,1
0,41,0.8,1
0,42,0.5,1
0,43,0.8,1
0,44,0.8,1
0,45,0.0,0
0,46,0.8,1
0,47,0.8,1
0,48,0.0,0
0,49,0.8,1
0,50,0.8,1
0,51,0.8,1
0,52,0.8,1
0,53,0.5,0
0,54,0.8,0
0,55,0.5,1
0,56,0.8,1
0,57,0.8,1
0,58,0.8,1
0,59,0.8,1
0,60,0.8,1
0,61,0.8,1
0,62,0.8,1
0,63,0.8,1
0,64,0.8,1
0,65,0.8,1
0,66,0.8,1
0,67,0.8,1
0,68,0.8,1
0,69,0.8,1
0,70,0.8,1
0,71,0.0,0
0,72,0.8,1
0,73,0.5,1
0,74,0.8,1
0,75,0.8,1
0,76,0.8,0
0,77,0.8,1
0,78,0.8,0
0,79,0.8,1
0,80,0.8,0
0,81,0.8,1
0,82,0.8,1
0,83,0.5,0
0,84,0.8,1
0,85,0.0,0
0,86,0.8,1
0,87,0.8,0
0,88,0.8,1
0,89,0.0,0
0,90,0.0,0
0,91,0.8,1
0,92,0.8,1
0,93,0.8,1
0,94,0.5,0
0,95,0.8,1
0,96,0.0,0
0,97,0.8,1
0,98,0.8,1
0,99,0.8,0
0,100,0.8,1
0,101,0.8,1
0,102,0.5,1
0,103,0.8,1
0,104,0.8,1
0,105,0.5,1
0,106,0.5,0
0,107,0.5,0
0,108,0.8,1
0,109,0.0,0
0,110,0.8,1
0,111,0.8,0
0,112,0.8,0
0,113,0.8,1
0,114,0.0,0
0,115,0.8,1
0,116,0.8,1
0,117,0.5,1
0,118,0.8,1
0,119,0.8,1
0,120,0.5,1
0,121,0.8,1
0,122,0.8,1
0,123,0.8,1
0,124,0.8,1
0,125,0.5,0
0,126,0.0,0
0,127,0.0,0
0,128,0.5,1
0,129,0.8,1
0,130,0.0,0
0,131,0.8,1
0,132,0.8,1
0,133,0.8,1
0,134,0.5,0
0,135,0.8,0
0,136,0.5,1
0,137,0.0,0
0,138,0.8,1
0,139,0.8,1
0,140,0.8,0
0,141,0.8,1
0,142,0.8,0
0,143,0.0,0
0,144,0.5,1
0,145,0.8,1
0,146,0.5,1
0,147,0.8,1
0,148,0.5,0
0,149,0.8,0
0,150,0.0,0
0,151,0.5,1
0,152,0.8,0
0,153,0.8,1
0,154,0.0,0
0,155,0.8,1
0,156,0.5,0
0,157,0.8,1
0,158,0.8,1
0,159,0.8,1
0,160,0.8,1
0,161,0.8,1
0,162,0.8,1
0,163,0.8,1
0,164,0.8,1
0,165,0.8,1
0,166,0.8,1
0,167,0.0,0
0,168,0.8,0
0,169,0.5,0
0,170,0.0,0
0,171,0.8,0
0,172,0.8,0
0,173,0.8,0
0,174,0.5,1
0,175,0.8,1
0,176,0.5,0
0,177,0.8,1
0,178,0.0,0
0,179,0.8,1
0,180,0.8,1
0,181,0.5,1
0,182,0.5,0
0,183,0.8,0
0,184,0.5,1
0,185,0.8,1
0,186,0.8,1
0,187,0.5,1
0,188,0.8,1
0,189,0.5,1
0,190,0.8,1
0,191,0.8,1
0,192,0.8,1
0,193,0.8,0
0,194,0.8,1
0,195,0.0,0
0,196,0.0,0
0,197,0.8,0
0,198,0.8,1
0,199,0.5,1
1,0,0.8,1
1,1,0.8,0
1,2,0.3,1
1,3,0.8,1
1,4,0.8,1
1,5,0.8,0
1,6,0.8,1
1,7,0.3,0
1,8,0.8,1
1,9,0.3,0
1,10,0.3,0
1,11,0.8,1
1,12,0.8,0
1,13,0.3,0
1,14,0.8,0
1,15,0.8,0
1,16,0.8,1
1,17,0.8,1
1,18,0.3,0
1,19,0.8,1
1,20,0.8,1
1,21,0.3,0
1,22,0.3,1
1,23,0.3,1
1,24,0.8,1
1,25,0.3,0
1,26,0.8,1
1,27,0.3,0
1,28,0.8,1
1,29,0.8,1
1,30,0.8,1
1,31,0.8,1
1,32,0.8,1
1,33,0.3,1
1,34,0.8,1
1,35,0.3,1
1,36,0.8,1
1,37,0.8,1
1,38,0.3,1
1,39,0.8,0
1,40,0.8,1
1,41,0.8,1
1,42,0.3,1
1,43,0.8,1
1,44,0.3,0
1,45,0.3,1
1,46,0.3,0
1,47,0.3,0
1,48,0.8,1
1,49,0.3,0
1,50,0.8,0
1,51,0.8,1
1,52,0.8,1
1,53,0.8,1
1,54,0.8,0
1,55,0.8,0
1,56,0.8,0
1,57,0.3,0
1,58,0.8,1
1,59,0.3,0
1,60,0.8,0
1,61,0.3,0
1,62,0.3,0
1,63,0.8,0
1,64,0.3,1
1,65,0.8,1
1,66,0.3,0
1,67,0.8,0
1,68,0.8,1
1,69,0.3,1
1,70,0.8,1
1,71,0.3,1
1,72,0.8,1
1,73,0.8,1
1,74,0.3,0
1,75,0.8,0
1,76,0.8,1
1,77,0.3,0
1,78,0.8,1
1,79,0.8,1
1,80,0.8,1
1,81,0.3,0
1,82,0.8,1
1,83,0.8,1
1,84,0.3,0
1,85,0.8,1
1,86,0.3,1
1,87,0.8,1
1,88,0.3,0
1,89,0.8,1
1,90,0.3,0
1,91,0.3,1
1,92,0.8,1
1,93,0.8,1
1,94,0.3,1
1,95,0.3,1
1,96,0.3,0
1,97,0.3,0
1,98,0.8,1
1,99,0.8,1
1,100,0.3,0
1,101,0.8,1
1,102,0.8,1
1,103,0.8,1
1,104,0.8,1
1,105,0.8,0
1,106,0.8,1
1,107,0.8,1
1,108,0.8,1
1,109,0.8,1
1,110,0.8,1
1,111,0.3,0
1,112,0.8,1
1,113,0.3,1
1,114,0.3,0
1,115,0.3,0
1,116,0.3,0
1,117,0.8,1
1,118,0.8,0
1,119,0.8,1
1,120,0.8,1
1,121,0.8,1
1,122,0.3,0
1,123,0.8,1
1,124,0.3,0
1,125,0.8,1
1,126,0.3,0
1,127,0.3,0
1,128,0.8,1
1,129,0.8,1
1,130,0.3,1
1,131,0.3,1
1,132,0.3,0
1,133,0.8,1
1,134,0.3,0
1,135,0.8,1
1,136,0.3,0
1,137,0.8,1
1,138,0.3,0
1,139,0.8,0
1,140,0.3,0
1,141,0.3,0
1,142,0.3,0
1,143,0.8,1
1,144,0.3,1
1,145,0.3,0
1,146,0.3,0
1,147,0.8,1
1,148,0.3,0
1,149,0.8,1
1,150,0.8,1
1,151,0.8,1
1,152,0.3,0
1,153,0.8,0
1,154,0.8,1
1,155,0.3,0
1,156,0.8,0
1,157,0.8,0
1,158,0.8,1
1,159,0.8,1
1,160,0.8,1
1,161,0.3,0
1,162,0.8,0
1,163,0.3,1
1,164,0.3,0
1,165,0.3,1
1,166,0.3,0
1,167,0.8,1
1,168,0.8,1
1,169,0.3,0
1,170,0.8,0
1,171,0.8,1
1,172,0.8,1
1,173,0.8,1
1,174,0.3,0
1,175,0.8,1
1,176,0.3,0
1,177,0.3,0
1,178,0.3,0
1,179,0.3,0
1,180,0.3,0
1,181,0.3,1
1,182,0.8,1
1,183,0.8,1
1,184,0.8,1
1,185,0.8,1
1,186,0.8,1
1,187,0.3,0
1,188,0.3,1
1,189,0.3,0
1,190,0.3,0
1,191,0.8,1
1,192,0.8,0
1,193,0.8,1
1,194,0.8,1
1,195,0.8,1
1,196,0.8,0
1,197,0.8,1
